GRAVEDAD,FECHA,AÑO,HORA,JORNADA,DIA_SEMANA,BARRIOS_CORREGIMIENTO_VIA,DIRECCION,ZONA,AUTORIDAD,LAT,LONG,HIPOTESIS,CONDICION_DE_LA_VICTIMA,CLASE_DE_SINIESTRO,LESIONADO,HOMICIDIOS,CLINICA,SITIO,CLASE_DE_VEHICULO,MARCA,MATRICULA,TIPO_DE_SERVICIO,EMPRESA, , .1
DAÑOS,10/31/2020 12:00:00 AM,2020,1899-12-31T15:30:00.000,TARDE,6_SABADO,MUINICIPAL,CARRERA 1 CALLE 32-32A,URBANA,TECNICO,3.52748,-76.27754,NO MANTENER DISTANCIA  DE SEGURIDAD,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,BUS,HINO,GUACARI,PUBLICO,ESPECIALES BRASILIA,,
DAÑOS,11/04/2020 12:00:00 AM,2020,1899-12-31T15:30:00.000,TARDE,3_MIERCOLES,FRAY LUIS,CALLE 40 CARRERA 37-25,URBANA,TECNICO,3.53679,-76.30831,REMOLCAR VEHICULO SIN LAS DEBIDADSPRECAUCIONES,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,KIA,PALMIRA,PUBLICO,COOTRANSPAL,,
DAÑOS,11/04/2020 12:00:00 AM,2020,1899-12-31T15:30:00.000,TARDE,3_MIERCOLES,FRAY LUIS,CALLE 40 CARRERA 37-25,URBANA,TECNICO,3.53679,-76.30831,REMOLCAR VEHICULO SIN LAS DEBIDADSPRECAUCIONES,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,CAMIONETA,FORD,CALI,PARTICULAR,NO APLICA,,
HERIDOS,11/01/2020 12:00:00 AM,2020,1899-12-31T10:10:00.000,MAÑANA,7_DOMINGO,SAMANES,CALLE 47 CARRERA 28,URBANA,TECNICO,3.54219,-76.29663,NO RESPETAR PRELACION,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,MOTO,YAMAHA,FLORIDA,PARTICULAR,NO APLICA,,
HERIDOS,11/01/2020 12:00:00 AM,2020,1899-12-31T10:10:00.000,MAÑANA,7_DOMINGO,SAMANES,CALLE 47 CARRERA 28,URBANA,TECNICO,3.54219,-76.29663,NO RESPETAR PRELACION,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,MOTO,AKT,PRADERA,PARTICULAR,NO APLICA,,
HERIDOS,11/01/2020 12:00:00 AM,2020,1899-12-31T10:10:00.000,MAÑANA,7_DOMINGO,SAMANES,CALLE 47 CARRERA 28,URBANA,TECNICO,3.54219,-76.29663,NO RESPETAR PRELACION,ACOMPAÑANTE MOTOCICLISTA,CHOQUE,1,NO APLICA,PALMA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,,
DAÑOS,11/04/2020 12:00:00 AM,2020,1899-12-31T17:40:00.000,TARDE,3_MIERCOLES,INDUSTRIAL,CALLE 42 CARRERA 35,URBANA,TECNICO,3.53873,-76.30643,NO MANTENER DISTANCIA DE SEGURIDAD,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,HYUNDAI,CALI,PARTICULAR,NO APLICA,,
DAÑOS,11/04/2020 12:00:00 AM,2020,1899-12-31T17:40:00.000,TARDE,3_MIERCOLES,INDUSTRIAL,CALLE 42 CARRERA 35,URBANA,TECNICO,3.53873,-76.30643,NO MANTENER DISTANCIA DE SEGURIDAD,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,KIA,CALI,PARTICULAR,NO APLICA,,
DAÑOS,11/06/2020 12:00:00 AM,2020,1899-12-31T06:50:00.000,MAÑANA,5_VIERNES,VERSALLE S,CALLE 42 CARRERA 27,URBANA,TECNICO,3.53789,-76.2962,NO TOMAR LA MEDIDAS DE PRECUCION APARA ADELANTAR,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,CHEVROLET,GUACARI,PARTICULAR,NO APLICA,,
DAÑOS,11/06/2020 12:00:00 AM,2020,1899-12-31T06:50:00.000,MAÑANA,5_VIERNES,VERSALLE S,CALLE 42 CARRERA 27,URBANA,TECNICO,3.53789,-76.2962,NO TOMAR LA MEDIDAS DE PRECUCION APARA ADELANTAR,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,MOTO,YAMAHA,PRADERA,PARTICULAR,NO APLICA,,
DAÑOS,11/06/2020 12:00:00 AM,2020,1899-12-31T16:00:00.000,TARDE,5_VIERNES,NUEVO,CARRERA 31 CALLE 24,URBANA,TECNICO,3.5223,-76.30257,UBICARSE DENRO DOS CARRILES,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,CHEVROLET,PRADERA,PARTICULAR,NO APLICA,,
DAÑOS,11/06/2020 12:00:00 AM,2020,1899-12-31T16:00:00.000,TARDE,5_VIERNES,NUEVO,CARRERA 31 CALLE 24,URBANA,TECNICO,3.5223,-76.30257,UBICARSE DENRO DOS CARRILES,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,MOTO,AKT,CALI,PARTICULAR,NO APLICA,,
