GRAVEDAD,FECHA,AÑO,HORA,JORNADA,DIA_SEMANA,BARRIOS_CORREGIMIENTO_VIA,DIRECCION,ZONA,AUTORIDAD,LAT,LONG,HIPOTESIS,CONDICION_DE_LA_VICTIMA,CLASE_DE_SINIESTRO,LESIONADO,HOMICIDIOS,CLINICA,SITIO,CLASE_DE_VEHICULO,MARCA,MATRICULA,TIPO_DE_SERVICIO,EMPRESA, , .1
DAÑOS,11/12/2020 12:00:00 AM,2020,1899-12-31T13:20:00.000,TARDE,4_JUEVES,CENTRO,CALLE 31 CARRERA 32,URBANA,TECNICO,3.52852,-76.30237,ADELANTAR CERRANDO,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,HYUNDAI,CALI,PARTICULAR,NO APLICA,,
DAÑOS,11/12/2020 12:00:00 AM,2020,1899-12-31T13:20:00.000,TARDE,4_JUEVES,CENTRO,CALLE 31 CARRERA 32,URBANA,TECNICO,3.52852,-76.30237,ADELANTAR CERRANDO,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,CAMIONETA,CHEVROLET,CALI,PARTICULAR,NO APLICA,,
HERIDOS,11/12/2020 12:00:00 AM,2020,1899-12-31T07:00:00.000,MAÑANA,4_JUEVES,POBLADO,CALLE 44 CARRERA 14,URBANA,TECNICO,3.53911,-76.28755,NO MANTENER DISTANCIA,MOTOCICLISTA,CHOQUE,1,NO APLICA,RAUL,NO APLICA,MOTO,HONDA,FLORIDA,PARTICULAR,NO APLICA,,
HERIDOS,11/12/2020 12:00:00 AM,2020,1899-12-31T07:00:00.000,MAÑANA,4_JUEVES,POBLADO,CALLE 44 CARRERA 14,URBANA,TECNICO,3.53911,-76.28755,NO MANTENER DISTANCIA,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,CHEVROLET,COTA,PARTICULAR,NO APLICA,,
HERIDOS,11/12/2020 12:00:00 AM,2020,1899-12-31T12:20:00.000,TARDE,4_JUEVES,SAN PEDRO,CALLE 34A CARRERA 17,URBANA,TECNICO,3.53004,-76.28864,DESOBEDECER SEÑALES,CONDUCTOR,CHOQUE,1,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,MAZDA,TIMBU,PARTICULAR,NO APLICA,,
HERIDOS,11/12/2020 12:00:00 AM,2020,1899-12-31T12:20:00.000,TARDE,4_JUEVES,SAN PEDRO,CALLE 34A CARRERA 17,URBANA,TECNICO,3.53004,-76.28864,DESOBEDECER SEÑALES,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,RENAULT,BOGOTA,PARTICULAR,NO APLICA,,
DAÑOS,11/11/2020 12:00:00 AM,2020,1899-12-31T16:30:00.000,TARDE,3_MIERCOLES,ZONZ FRANCA PACIFICO,BODEGA 3,RURAL,TECNICO,3.56042,-76.45018,PUERTAS ABIERTAS,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,CAMION,FOTON,EL CERRITO,PARTICULAR,NO APLICA,,
DAÑOS,11/11/2020 12:00:00 AM,2020,1899-12-31T16:30:00.000,TARDE,3_MIERCOLES,ZONZ FRANCA PACIFICO,BODEGA 3,RURAL,TECNICO,3.56042,-76.45018,PUERTAS ABIERTAS,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,TRACTO CAMION,KENWORTH,NARIÑO,PUBLICO,NO APLICA,,
DAÑOS,11/13/2020 12:00:00 AM,2020,1899-12-31T19:52:00.000,NOCHE,5_VIERNES,COLOMBIA,CARRERA 34 CALLE 33,URBANA,TECNICO,3.53123,-76.30415,DESOBEDECER SEÑALES,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,CHEVROLET,CALI,PARTICULAR,NO APLICA,,
DAÑOS,11/13/2020 12:00:00 AM,2020,1899-12-31T19:52:00.000,NOCHE,5_VIERNES,COLOMBIA,CARRERA 34 CALLE 33,URBANA,TECNICO,3.53123,-76.30415,DESOBEDECER SEÑALES,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,KIA,CALI,PARTICULAR,NO APLICA,,
